No Dosen,Nama Dosen,Nama Bidang,Jumlah Bidang Muncul
27,"Ekojono, ST., M.Kom.",Penerapan Sistem Pakar,3
27,"Ekojono, ST., M.Kom.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
27,"Ekojono, ST., M.Kom.",Penerapan Manajemen Informasi,2
27,"Ekojono, ST., M.Kom.",Penerapan Watermarking pada Citra,1
27,"Ekojono, ST., M.Kom.",Penerapan Sistem Peramalan,1
27,"Ekojono, ST., M.Kom.",Penerapan Morfologi Citra Digital,1
27,"Ekojono, ST., M.Kom.",Penerapan Smart Living,1
27,"Ekojono, ST., M.Kom.",Penerapan Penambangan Data,2
27,"Ekojono, ST., M.Kom.",Penerapan Penambangan Teks,1
27,"Ekojono, ST., M.Kom.",Penerapan Virtualisasi Jaringan,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Penambangan Teks,4
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Sistem Pendukung Keputusan,3
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Virtualisasi Jaringan,2
28,"Elok Nur Hamdana, S.T., M.T",Integrasi Sistem dan Arsitektur,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Sistem Peramalan,3
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Smart Living,1
28,"Elok Nur Hamdana, S.T., M.T",Computational Thinking,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan IoT,2
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Bisnis Elektronik Sistem Informasi,2
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Data Besar,2
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Augmented Reality,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Customer Relationship Management,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Sistem Pakar,3
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan Sistem Pakar,1
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan Augmented Reality,1
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan Smart Living,1
29,"Endah Septa Sintiya. SPd., MKom.",Multimedia,1
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan IoT,1
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan Data Besar,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan IoT,9
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Sistem Informasi Geografis,9
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Sistem Pakar,5
